set,id
2953.0,31312pb01
2955.0,31310pb04
2955.0,31312pb03
2960.0,4555pb077
2962.0,rsq002
2962.0,rsq009a
2963.0,ext018
2964.0,sp030
2965.0,sp026
2967.0,6453pb033
2968.0,4555pb253
2971.0,4555pb064
2974.0,baby019
2976.0,Piglet
2977.0,Eeyore
2982.0,Eeyore
2984.0,Piglet
2987.0,Eeyore
2987.0,Piglet
2988.0,Eeyore
2988.0,Piglet
2989.0,Piglet
2993.0,Eeyore
2995.0,gen006
2998.0,oct028
3038.0,tech007
3038.0,tech013a
3040.0,twn036
3047.0,tim005
3050.0,cas050
3050.0,cas057
3051.0,cas050
3052.0,cas051
3052.0,cas050
3053.0,cas058
3053.0,cas050
3053.0,cas057
3056.0,oct044
3059.0,spp017
3061.0,frnd014
3061.0,frnd013
3063.0,frnd008
3065.0,frnd010
3066.0,spp015
3067.0,spp014
3068.0,spp001
3069.0,spp016
3070.0,sp020
3072.0,sp023
3073.0,sp022
3074.0,cas050
3075.0,cas051
3076.0,cas058
3077.0,cas057
3083.0,4555pb043
3083.0,4555pb044
3085.0,4555pb077
3085.0,4555pb067
3085.0,4555pb070
3087.0,6453pb028
3088.0,4555pb006
3089.0,6453pb012
3089.0,4555pb202
3090.0,6453pb007
3090.0,6453pb017
3090.0,31181pb01
3090.0,4555pb074
3091.0,4555pb056
3092.0,4555pb150
3093.0,6453pb016
3095.0,4555pb189
3095.0,4555pb188
3104.0,scaFemA01
3106.0,scaFemY05
3118.0,scaFemA03
3119.0,x4cx01
3119.0,scaFemA05
3121.0,x4cx01
3122.0,scaFemY07
3123.0,scaFemY03
3134.0,scaFemY05
3135.0,scaFemA05
3142.0,scaFemY05
3148.0,scaFemY02
3149.0,scaFemA05
3151.0,scaFemY03
3152.0,x4cx01
3155.0,scaFemA05
3160.0,baby021
3162.0,baby022
3177.0,twn096
3178.0,cty0163
3179.0,cty0110
3180.0,oct054
3181.0,air043
3181.0,cty0168
3181.0,twn053
3181.2,air043
3181.2,cty0168
3181.2,twn053
3182.0,cty0113
3182.0,air045
3182.0,air044
3182.0,cty0169
3182.0,twn107
3183.0,frnd008
3184.0,frnd021
3184.0,frnd017
3185.0,frnd026
3185.0,frnd011
3185.0,frnd028
3185.0,frnd025
3186.0,frnd027
3187.0,frnd011
3187.0,frnd012
3188.0,frnd016
3188.0,frnd015
3189.0,frnd020
3189.0,frnd016
3201.0,scaFemA04
3202.0,scaFemY06
3204.0,x4cx01
3204.0,scaFemA05
3221.0,cty0178
3221.0,cty0177
3222.0,air042
3222.0,twn052
3222.0,cty0169
3222.0,cty0172
3225.0,trn059
3225.0,trn055
3225.0,trn031
3226.0,fre001
3226.0,pck025
3233.0,tim005
3234.0,trn136
3241.0,scaFemA02
3243.0,scaFemA03
3272.0,btb012
3273.0,btb006
3274.0,btb010
3276.0,4555pb092
3276.0,btb010
3276.0,btb012
3278.0,4555pb021
3281.0,4555pb082
3282.0,4555pb031
3283.0,btb008
3283.0,4555pb134
3283.0,btb011
3285.0,4555pb134
3286.0,4555pb082
3288.0,btb001
3289.0,btb011
3289.0,47394pb047
3289.0,btb009
3290.0,x4cx01
3290.0,scaFemA03
3292.0,btb008
3293.0,btb005
3294.0,btb009
3295.0,btb011
3295.0,47394pb047
3296.0,btb014
3297.0,btb012
3297.0,btb002
3298.0,btb003
3299.0,btb008
3299.0,btb013
3300.0,tms11
3301.0,tms01
3301.0,tms02
3303.0,pln091
3304.0,soc095
3305.0,pln055
3306.0,pln093
3306.0,pln092
3308.0,twn013
3308.0,oct035
3308.0,pln014
3309.0,jbl006
3309.0,trn015
3309.0,trn086
3310.0,pck011
3310.0,trn085
3311.0,tv003
3311.0,tv002
3312.0,soc057
3312.0,soc058
3314.0,trn087
3314.0,cop028
3314.0,cop029
3315.0,frnd018
3315.0,frnd017
3315.0,frnd019
3316.0,frnd029
3316.0,frnd030
3324.0,pln055
3325.0,4555pb051
3325.0,4555pb052
3325.0,4555pb179
3325.0,4555pb040
3326.0,4555pb081
3327.0,6453pb020
3327.0,4555pb028
3335.0,4555pb051
3335.0,4555pb052
3335.0,4555pb081
3340.0,sw0003
3340.0,sw0004
3340.0,sw0041
3341.0,sw0002
3341.0,sw0045
3341.0,sw0044
3342.0,sw0005
3342.0,sw0011
3343.0,sw0001a
3343.0,sw0048
3344.0,cas209
3345.0,cas211
3345.0,cas210
3346.0,cas203
3346.0,cas212
3346.0,cas206
3347.0,rck006
