stevilka,ime,tema,podtema,leto,st_kock,st_minifigur,dostopnost,msrp,vrednost
75088.0,Senate Commando Troopers,Star Wars,Legends,2015,106,4,Retired,16.99,45.74
75089.0,Geonosis Troopers,Star Wars,Legends,2015,105,4,Retired,16.99,50.09
75090.0,Ezra's Speeder Bike,Star Wars,Rebels,2015,253,3,Retired,18.89,66.28
75091.0,Flash Speeder,Star Wars,Episode I,2015,312,5,Retired,39.99,39.45
75092.0,Naboo Starfighter,Star Wars,Episode I,2015,442,9,Retired,64.99,163.72
75093.0,Death Star Final Duel,Star Wars,Episode VI,2015,724,5,Retired,89.99,90.71
75094.0,Imperial Shuttle Tydirium,Star Wars,Episode VI,2015,937,5,Retired,99.99,165.7
75095.0,TIE Fighter,Star Wars,Ultimate Collector Series,2015,1685,1,Retired,199.99,244.1
75096.0,Sith Infiltrator,Star Wars,Episode I,2015,662,8,Retired,99.99,161.27
75097.0,Star Wars Advent Calendar,Star Wars,Seasonal,2015,292,9,Retired,29.99,41.41
75098.0,Assault on Hoth,Star Wars,Ultimate Collector Series,2016,2144,15,Retired,249.99,499.76
75099.0,Rey's Speeder,Star Wars,The Force Awakens,2015,193,2,Retired,26.99,21.99
75100.0,First Order Snowspeeder,Star Wars,The Force Awakens,2015,444,3,Retired,49.99,42.79
75101.0,First Order Special Forces TIE Fighter,Star Wars,The Force Awakens,2015,517,4,Retired,69.99,76.59
75102.0,Poe's X-wing Fighter,Star Wars,The Force Awakens,2015,717,4,Retired,89.99,102.16
75103.0,First Order Transporter,Star Wars,The Force Awakens,2015,792,7,Retired,99.99,149.6
75104.0,Kylo Ren's Command Shuttle,Star Wars,The Force Awakens,2015,1005,6,Retired,119.99,127.52
75105.0,Millennium Falcon,Star Wars,The Force Awakens,2015,1329,7,Retired,149.99,148.58
75106.0,Imperial Assault Carrier,Star Wars,Rebels,2015,1216,6,Retired,129.99,236.31
75107.0,Jango Fett,Star Wars,Buildable Figures,2015,85,0,Retired,19.99,43.92
75108.0,Clone Commander Cody,Star Wars,Buildable Figures,2015,82,0,Retired,19.99,46.49
75109.0,Obi-Wan Kenobi,Star Wars,Buildable Figures,2015,83,0,Retired,24.99,36.1
75110.0,Luke Skywalker,Star Wars,Buildable Figures,2015,83,0,Retired,19.99,26.39
75111.0,Darth Vader,Star Wars,Buildable Figures,2015,160,0,Retired,29.99,36.89
75112.0,General Grievous,Star Wars,Buildable Figures,2015,186,0,Retired,34.99,71.28
75113.0,Rey,Star Wars,Buildable Figures,2016,84,0,Retired,19.99,18.11
75114.0,First Order Stormtrooper,Star Wars,Buildable Figures,2016,81,0,Retired,19.99,39.13
75115.0,Poe Dameron,Star Wars,Buildable Figures,2016,102,0,Retired,24.99,26.31
75116.0,Finn,Star Wars,Buildable Figures,2016,98,0,Retired,24.99,23.64
75117.0,Kylo Ren,Star Wars,Buildable Figures,2016,86,0,Retired,24.99,30.27
75118.0,Captain Phasma,Star Wars,Buildable Figures,2016,82,0,Retired,24.99,33.36
75119.0,Sergeant Jyn Erso,Star Wars,Buildable Figures,2016,104,0,Retired,24.99,15.98
75120.0,K-2SO,Star Wars,Buildable Figures,2016,169,0,Retired,24.99,35.12
75121.0,Imperial Death Trooper,Star Wars,Buildable Figures,2016,106,0,Retired,24.99,25.59
75125.0,Resistance X-wing Fighter,Star Wars,MicroFighters,2016,87,1,Retired,9.99,13.18
75126.0,First Order Snowspeeder,Star Wars,MicroFighters,2016,91,1,Retired,9.99,11.34
75127.0,The Ghost,Star Wars,MicroFighters,2016,104,1,Retired,9.99,39.6
75128.0,TIE Advanced Prototype,Star Wars,MicroFighters,2016,93,1,Retired,9.99,11.98
75129.0,Wookiee Gunship,Star Wars,MicroFighters,2016,84,1,Retired,9.99,14.87
75130.0,AT-DP,Star Wars,MicroFighters,2016,76,1,Retired,9.99,14.84
75131.0,Resistance Trooper Battle Pack,Star Wars,The Force Awakens,2016,112,4,Retired,16.99,17.37
